motion_id,topic,source,confidence,classified_at
aucklandiv24.calicotab.com:aucklandiv24:48089,Media & Culture,model,0.359,2026-09-26T13:52:04.780788+00:00
aurgumentum.au-tab.app:open2024:1840,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aurgumentum.au-tab.app:open2024:1841,Health,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aurgumentum.au-tab.app:open2024:1842,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aurgumentum.au-tab.app:open2024:1843,,,,2026-09-26T13:52:04.780788+00:00
aurgumentum.au-tab.app:open2024:1844,,,,2026-09-26T13:52:04.780788+00:00
aurgumentum.au-tab.app:proams2024:1931,Politics & Governance,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aurgumentum.au-tab.app:proams2024:1932,,,,2026-09-26T13:52:04.780788+00:00
aurgumentum.au-tab.app:proams2024:1933,Gender & Feminism,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aurgumentum.au-tab.app:proams2024:1935,,,,2026-09-26T13:52:04.780788+00:00
dipo2025.au-tab.app:en:16140,,,,2026-09-26T13:52:04.780788+00:00
dipo2025.au-tab.app:en:16144,Economics,keyword,1.0,2026-09-26T13:52:04.780788+00:00
dipo2025.au-tab.app:en:16147,,,,2026-09-26T13:52:04.780788+00:00
dipo2025.au-tab.app:en:16166,Health,keyword,1.0,2026-09-26T13:52:04.780788+00:00
dipo2025.au-tab.app:en:16233,Economics,keyword,1.0,2026-09-26T13:52:04.780788+00:00
usutabs2022.calicotab.com:abpdc2022:15699,,,,2026-09-26T13:52:04.780788+00:00
usutabs2022.calicotab.com:abpdc2022:15700,,,,2026-09-26T13:52:04.780788+00:00
usutabs2022.calicotab.com:abpdc2022:15701,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
usutabs2022.calicotab.com:abpdc2022:15702,Gender & Feminism,keyword,1.0,2026-09-26T13:52:04.780788+00:00
