host,slug,status,rounds
bdidf-pacific.calicotab.com,regional,"failed: ConnectionError: HTTPSConnectionPool(host='bdidf-pacific.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/regional/teams (Caused by NameResolutionError(""HTTPSConnection(host='bdidf-pacific.calicotab.com', port=443): Failed to resolve 'bdidf-pacific.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
bdidf-west.calicotab.com,west,"failed: ConnectionError: HTTPSConnectionPool(host='bdidf-west.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/west/teams (Caused by NameResolutionError(""HTTPSConnection(host='bdidf-west.calicotab.com', port=443): Failed to resolve 'bdidf-west.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
bido2025.calicotab.com,bido2025,"failed: ConnectionError: HTTPSConnectionPool(host='bido2025.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/bido2025/teams (Caused by NameResolutionError(""HTTPSConnection(host='bido2025.calicotab.com', port=443): Failed to resolve 'bido2025.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
bido2026.calicotab.com,bido2026,"failed: ConnectionError: HTTPSConnectionPool(host='bido2026.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/bido2026/teams (Caused by NameResolutionError(""HTTPSConnection(host='bido2026.calicotab.com', port=443): Failed to resolve 'bido2026.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
open-communication.calicotab.com,belgrade2022,"failed: ConnectionError: HTTPSConnectionPool(host='open-communication.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/belgrade2022/teams (Caused by NameResolutionError(""HTTPSConnection(host='open-communication.calicotab.com', port=443): Failed to resolve 'open-communication.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
opencommunication.calicotab.com,belgradeopen2023,"failed: ConnectionError: HTTPSConnectionPool(host='opencommunication.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/belgradeopen2023/teams (Caused by NameResolutionError(""HTTPSConnection(host='opencommunication.calicotab.com', port=443): Failed to resolve 'opencommunication.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
open-communication-2024.calicotab.com,belgradeopen2024,"failed: ConnectionError: HTTPSConnectionPool(host='open-communication-2024.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/belgradeopen2024/teams (Caused by NameResolutionError(""HTTPSConnection(host='open-communication-2024.calicotab.com', port=443): Failed to resolve 'open-communication-2024.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
open-communication-2026.calicotab.com,bgopen2026,"failed: ConnectionError: HTTPSConnectionPool(host='open-communication-2026.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/bgopen2026/teams (Caused by NameResolutionError(""HTTPSConnection(host='open-communication-2026.calicotab.com', port=443): Failed to resolve 'open-communication-2026.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
berkeleyiv2024.calicotab.com,berkeleyiv24,"failed: ConnectionError: HTTPSConnectionPool(host='berkeleyiv2024.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/berkeleyiv24/teams (Caused by NameResolutionError(""HTTPSConnection(host='berkeleyiv2024.calicotab.com', port=443): Failed to resolve 'berkeleyiv2024.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
berkeleyiv25.calicotab.com,UCBIV25,"failed: ConnectionError: HTTPSConnectionPool(host='berkeleyiv25.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/UCBIV25/teams (Caused by NameResolutionError(""HTTPSConnection(host='berkeleyiv25.calicotab.com', port=443): Failed to resolve 'berkeleyiv25.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
berkeleyiv2026.calicotab.com,berkeleyiv26,"failed: ConnectionError: HTTPSConnectionPool(host='berkeleyiv2026.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/berkeleyiv26/teams (Caused by NameResolutionError(""HTTPSConnection(host='berkeleyiv2026.calicotab.com', port=443): Failed to resolve 'berkeleyiv2026.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
berlinonlineiv2020.calicotab.com,bivonline2020,"failed: ConnectionError: HTTPSConnectionPool(host='berlinonlineiv2020.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/bivonline2020/teams (Caused by NameResolutionError(""HTTPSConnection(host='berlinonlineiv2020.calicotab.com', port=443): Failed to resolve 'berlinonlineiv2020.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
berlinopen2025.calicotab.com,berlinopen2025,"failed: ConnectionError: HTTPSConnectionPool(host='berlinopen2025.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/berlinopen2025/teams (Caused by NameResolutionError(""HTTPSConnection(host='berlinopen2025.calicotab.com', port=443): Failed to resolve 'berlinopen2025.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
vaagyudh2024.calicotab.com,vaagyudh,"failed: ConnectionError: HTTPSConnectionPool(host='vaagyudh2024.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/vaagyudh/teams (Caused by NameResolutionError(""HTTPSConnection(host='vaagyudh2024.calicotab.com', port=443): Failed to resolve 'vaagyudh2024.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
